image,psnr,ssim,lpips,enhanced_path,low_path,gt_path
r163967d4t.png,12.066938,0.790205,0.192016,data/result_lol/lolv2_syn/r163967d4t.png,data/LOL-v2/Synthetic/Test/Low/r163967d4t.png,data/LOL-v2/Synthetic/Test/Normal/r163967d4t.png
r16422663t.png,21.249878,0.974792,0.066949,data/result_lol/lolv2_syn/r16422663t.png,data/LOL-v2/Synthetic/Test/Low/r16422663t.png,data/LOL-v2/Synthetic/Test/Normal/r16422663t.png
r16509308t.png,13.749071,0.852836,0.181599,data/result_lol/lolv2_syn/r16509308t.png,data/LOL-v2/Synthetic/Test/Low/r16509308t.png,data/LOL-v2/Synthetic/Test/Normal/r16509308t.png
r165355c0t.png,11.812692,0.856416,0.201378,data/result_lol/lolv2_syn/r165355c0t.png,data/LOL-v2/Synthetic/Test/Low/r165355c0t.png,data/LOL-v2/Synthetic/Test/Normal/r165355c0t.png
r16654024t.png,11.336141,0.637165,0.240866,data/result_lol/lolv2_syn/r16654024t.png,data/LOL-v2/Synthetic/Test/Low/r16654024t.png,data/LOL-v2/Synthetic/Test/Normal/r16654024t.png
r1683028at.png,21.621798,0.873902,0.193950,data/result_lol/lolv2_syn/r1683028at.png,data/LOL-v2/Synthetic/Test/Low/r1683028at.png,data/LOL-v2/Synthetic/Test/Normal/r1683028at.png
r1694427et.png,9.442813,0.750800,0.247566,data/result_lol/lolv2_syn/r1694427et.png,data/LOL-v2/Synthetic/Test/Low/r1694427et.png,data/LOL-v2/Synthetic/Test/Normal/r1694427et.png
r170632f5t.png,18.134623,0.802480,0.280821,data/result_lol/lolv2_syn/r170632f5t.png,data/LOL-v2/Synthetic/Test/Low/r170632f5t.png,data/LOL-v2/Synthetic/Test/Normal/r170632f5t.png
r17217693t.png,16.359996,0.780497,0.275572,data/result_lol/lolv2_syn/r17217693t.png,data/LOL-v2/Synthetic/Test/Low/r17217693t.png,data/LOL-v2/Synthetic/Test/Normal/r17217693t.png
r181768b7t.png,9.755826,0.623840,0.231635,data/result_lol/lolv2_syn/r181768b7t.png,data/LOL-v2/Synthetic/Test/Low/r181768b7t.png,data/LOL-v2/Synthetic/Test/Normal/r181768b7t.png
r1824034et.png,21.789124,0.934141,0.149329,data/result_lol/lolv2_syn/r1824034et.png,data/LOL-v2/Synthetic/Test/Low/r1824034et.png,data/LOL-v2/Synthetic/Test/Normal/r1824034et.png
r185929e9t.png,17.301443,0.827286,0.377368,data/result_lol/lolv2_syn/r185929e9t.png,data/LOL-v2/Synthetic/Test/Low/r185929e9t.png,data/LOL-v2/Synthetic/Test/Normal/r185929e9t.png
r18791531t.png,22.443342,0.892575,0.148202,data/result_lol/lolv2_syn/r18791531t.png,data/LOL-v2/Synthetic/Test/Low/r18791531t.png,data/LOL-v2/Synthetic/Test/Normal/r18791531t.png
r18798194t.png,20.446643,0.879918,0.161573,data/result_lol/lolv2_syn/r18798194t.png,data/LOL-v2/Synthetic/Test/Low/r18798194t.png,data/LOL-v2/Synthetic/Test/Normal/r18798194t.png
r1889220ft.png,8.061306,0.592423,0.586662,data/result_lol/lolv2_syn/r1889220ft.png,data/LOL-v2/Synthetic/Test/Low/r1889220ft.png,data/LOL-v2/Synthetic/Test/Normal/r1889220ft.png
r18990432t.png,13.811003,0.767944,0.172888,data/result_lol/lolv2_syn/r18990432t.png,data/LOL-v2/Synthetic/Test/Low/r18990432t.png,data/LOL-v2/Synthetic/Test/Normal/r18990432t.png
r1904147dt.png,18.533672,0.915977,0.096389,data/result_lol/lolv2_syn/r1904147dt.png,data/LOL-v2/Synthetic/Test/Low/r1904147dt.png,data/LOL-v2/Synthetic/Test/Normal/r1904147dt.png
r191488c6t.png,21.047784,0.980400,0.068627,data/result_lol/lolv2_syn/r191488c6t.png,data/LOL-v2/Synthetic/Test/Low/r191488c6t.png,data/LOL-v2/Synthetic/Test/Normal/r191488c6t.png
r1915909et.png,22.522255,0.913372,0.222281,data/result_lol/lolv2_syn/r1915909et.png,data/LOL-v2/Synthetic/Test/Low/r1915909et.png,data/LOL-v2/Synthetic/Test/Normal/r1915909et.png
r19183258t.png,10.654254,0.718249,0.382335,data/result_lol/lolv2_syn/r19183258t.png,data/LOL-v2/Synthetic/Test/Low/r19183258t.png,data/LOL-v2/Synthetic/Test/Normal/r19183258t.png
r197770adt.png,18.568976,0.719901,0.348849,data/result_lol/lolv2_syn/r197770adt.png,data/LOL-v2/Synthetic/Test/Low/r197770adt.png,data/LOL-v2/Synthetic/Test/Normal/r197770adt.png
